severity,confidence,category,table_name,field_name,league_id,league_name,season,description,count,denominator,rate_pct,vs_benchmark_delta_pct,vs_prev_season_delta_pct,representative_ids,downstream_risk,likely_cause,recommendation
LOW,HIGH,dim_match.kickoff_provenance_note,dim_match,kickoff_at_utc,55,SerieA,2021/2022,"[core] 精确开球时刻覆盖率(时间元数据限制,非比赛数据错误——历史数据入库早于 kickoff 精确化改造)",0,380,0.0,,,,"不影响比分/统计类模型特征,只影响需要精确赛前 cutoff 的场景",历史批次入库时未采集精确 kickoff,"如需精确 kickoff 用于赛前特征,需按 CLAUDE.md §6.2.1 重新采集"
LOW,HIGH,dim_match.kickoff_provenance_note,dim_match,kickoff_at_utc,55,SerieA,2022/2023,"[core] 精确开球时刻覆盖率(时间元数据限制,非比赛数据错误——历史数据入库早于 kickoff 精确化改造)",0,381,0.0,,,,"不影响比分/统计类模型特征,只影响需要精确赛前 cutoff 的场景",历史批次入库时未采集精确 kickoff,"如需精确 kickoff 用于赛前特征,需按 CLAUDE.md §6.2.1 重新采集"
LOW,HIGH,dim_match.kickoff_provenance_note,dim_match,kickoff_at_utc,55,SerieA,2023/2024,"[core] 精确开球时刻覆盖率(时间元数据限制,非比赛数据错误——历史数据入库早于 kickoff 精确化改造)",0,380,0.0,,,,"不影响比分/统计类模型特征,只影响需要精确赛前 cutoff 的场景",历史批次入库时未采集精确 kickoff,"如需精确 kickoff 用于赛前特征,需按 CLAUDE.md §6.2.1 重新采集"
LOW,HIGH,dim_match.kickoff_provenance_note,dim_match,kickoff_at_utc,55,SerieA,2024/2025,"[core] 精确开球时刻覆盖率(时间元数据限制,非比赛数据错误——历史数据入库早于 kickoff 精确化改造)",0,380,0.0,,,,"不影响比分/统计类模型特征,只影响需要精确赛前 cutoff 的场景",历史批次入库时未采集精确 kickoff,"如需精确 kickoff 用于赛前特征,需按 CLAUDE.md §6.2.1 重新采集"
LOW,HIGH,dim_match.kickoff_provenance_note,dim_match,kickoff_at_utc,55,SerieA,2025/2026,"[core] 精确开球时刻覆盖率(时间元数据限制,非比赛数据错误——历史数据入库早于 kickoff 精确化改造)",0,380,0.0,,,,"不影响比分/统计类模型特征,只影响需要精确赛前 cutoff 的场景",历史批次入库时未采集精确 kickoff,"如需精确 kickoff 用于赛前特征,需按 CLAUDE.md §6.2.1 重新采集"
LOW,HIGH,dim_match.kickoff_provenance_note,dim_match,kickoff_at_utc,87,LaLiga,2020/2021,"[core] 精确开球时刻覆盖率(时间元数据限制,非比赛数据错误——历史数据入库早于 kickoff 精确化改造)",0,380,0.0,,,,"不影响比分/统计类模型特征,只影响需要精确赛前 cutoff 的场景",历史批次入库时未采集精确 kickoff,"如需精确 kickoff 用于赛前特征,需按 CLAUDE.md §6.2.1 重新采集"
LOW,HIGH,dim_match.kickoff_provenance_note,dim_match,kickoff_at_utc,87,LaLiga,2021/2022,"[core] 精确开球时刻覆盖率(时间元数据限制,非比赛数据错误——历史数据入库早于 kickoff 精确化改造)",0,380,0.0,,,,"不影响比分/统计类模型特征,只影响需要精确赛前 cutoff 的场景",历史批次入库时未采集精确 kickoff,"如需精确 kickoff 用于赛前特征,需按 CLAUDE.md §6.2.1 重新采集"
LOW,HIGH,dim_match.kickoff_provenance_note,dim_match,kickoff_at_utc,87,LaLiga,2022/2023,"[core] 精确开球时刻覆盖率(时间元数据限制,非比赛数据错误——历史数据入库早于 kickoff 精确化改造)",0,380,0.0,,,,"不影响比分/统计类模型特征,只影响需要精确赛前 cutoff 的场景",历史批次入库时未采集精确 kickoff,"如需精确 kickoff 用于赛前特征,需按 CLAUDE.md §6.2.1 重新采集"
LOW,HIGH,dim_match.kickoff_provenance_note,dim_match,kickoff_at_utc,87,LaLiga,2023/2024,"[core] 精确开球时刻覆盖率(时间元数据限制,非比赛数据错误——历史数据入库早于 kickoff 精确化改造)",0,380,0.0,,,,"不影响比分/统计类模型特征,只影响需要精确赛前 cutoff 的场景",历史批次入库时未采集精确 kickoff,"如需精确 kickoff 用于赛前特征,需按 CLAUDE.md §6.2.1 重新采集"
LOW,HIGH,dim_match.kickoff_provenance_note,dim_match,kickoff_at_utc,87,LaLiga,2024/2025,"[core] 精确开球时刻覆盖率(时间元数据限制,非比赛数据错误——历史数据入库早于 kickoff 精确化改造)",0,380,0.0,,,,"不影响比分/统计类模型特征,只影响需要精确赛前 cutoff 的场景",历史批次入库时未采集精确 kickoff,"如需精确 kickoff 用于赛前特征,需按 CLAUDE.md §6.2.1 重新采集"
LOW,HIGH,dim_match.kickoff_provenance_note,dim_match,kickoff_at_utc,87,LaLiga,2025/2026,"[core] 精确开球时刻覆盖率(时间元数据限制,非比赛数据错误——历史数据入库早于 kickoff 精确化改造)",0,380,0.0,,,,"不影响比分/统计类模型特征,只影响需要精确赛前 cutoff 的场景",历史批次入库时未采集精确 kickoff,"如需精确 kickoff 用于赛前特征,需按 CLAUDE.md §6.2.1 重新采集"
LOW,HIGH,fact.orphan_player_id,fact_match_lineup,Player_ID,47,EPL,2020/2021,"[core] fact_match_lineup 存在无法连接 dim_player 的孤儿 Player_ID(源数据既有缺陷,非本轮合并引入)。行占比=2.8751%;唯一球员占比=12.4805%(80/641)。其中首发=0;有实际出场分钟数据=0",421,14643,2.8751,,,24155;294254;959228;212418;202562;309517;1117751;31432;195668;954194,"球员名无法展示;若做球员级聚合会丢失这些球员的贡献(本分区经核实全部为未实际出场的替补名单,建模影响可忽略)",dim_player 落库时机早于/漏于 fact 表,"补写缺失的 dim_player 行(需要来源真实姓名,不得编造)"
LOW,HIGH,fact.orphan_player_id,fact_match_lineup,Player_ID,47,EPL,2021/2022,"[core] fact_match_lineup 存在无法连接 dim_player 的孤儿 Player_ID(源数据既有缺陷,非本轮合并引入)。行占比=2.5524%;唯一球员占比=12.3711%(84/679)。其中首发=0;有实际出场分钟数据=0",387,15162,2.5524,,,843520;1161885;1065940;966032;1204282;1070974;24155;195668;1111613;765715,"球员名无法展示;若做球员级聚合会丢失这些球员的贡献(本分区经核实全部为未实际出场的替补名单,建模影响可忽略)",dim_player 落库时机早于/漏于 fact 表,"补写缺失的 dim_player 行(需要来源真实姓名,不得编造)"
LOW,HIGH,fact.orphan_player_id,fact_match_lineup,Player_ID,47,EPL,2022/2023,"[core] fact_match_lineup 存在无法连接 dim_player 的孤儿 Player_ID(源数据既有缺陷,非本轮合并引入)。行占比=2.0086%;唯一球员占比=12.1602%(85/699)。其中首发=0;有实际出场分钟数据=0",305,15185,2.0086,,,1113891;1249634;1096635;674115;949216;156937;1287618;1254762;24155;1023017,"球员名无法展示;若做球员级聚合会丢失这些球员的贡献(本分区经核实全部为未实际出场的替补名单,建模影响可忽略)",dim_player 落库时机早于/漏于 fact 表,"补写缺失的 dim_player 行(需要来源真实姓名,不得编造)"
LOW,HIGH,fact.orphan_player_id,fact_match_lineup,Player_ID,47,EPL,2023/2024,"[core] fact_match_lineup 存在无法连接 dim_player 的孤儿 Player_ID(源数据既有缺陷,非本轮合并引入)。行占比=2.4045%;唯一球员占比=15.2589%(112/734)。其中首发=0;有实际出场分钟数据=0",365,15180,2.4045,,,471274;1281465;1086939;963812;1297974;733712;843101;1217143;401932;1430852,"球员名无法展示;若做球员级聚合会丢失这些球员的贡献(本分区经核实全部为未实际出场的替补名单,建模影响可忽略)",dim_player 落库时机早于/漏于 fact 表,"补写缺失的 dim_player 行(需要来源真实姓名,不得编造)"
LOW,HIGH,fact.orphan_player_id,fact_match_lineup,Player_ID,47,EPL,2024/2025,"[core] fact_match_lineup 存在无法连接 dim_player 的孤儿 Player_ID(源数据既有缺陷,非本轮合并引入)。行占比=2.2649%;唯一球员占比=11.3869%(78/685)。其中首发=0;有实际出场分钟数据=0",344,15188,2.2649,,,887969;1107647;1249605;1187236;1043826;970296;1187317;1243239;1187287;1437781,"球员名无法展示;若做球员级聚合会丢失这些球员的贡献(本分区经核实全部为未实际出场的替补名单,建模影响可忽略)",dim_player 落库时机早于/漏于 fact 表,"补写缺失的 dim_player 行(需要来源真实姓名,不得编造)"
LOW,HIGH,fact.orphan_player_id,fact_match_lineup,Player_ID,47,EPL,2025/2026,"[core] fact_match_lineup 存在无法连接 dim_player 的孤儿 Player_ID(源数据既有缺陷,非本轮合并引入)。行占比=2.2121%;唯一球员占比=14.1593%(96/678)。其中首发=0;有实际出场分钟数据=0",336,15189,2.2121,,,1096635;1340673;1656881;1621143;968912;1365245;24155;1086703;1596340;1442496,"球员名无法展示;若做球员级聚合会丢失这些球员的贡献(本分区经核实全部为未实际出场的替补名单,建模影响可忽略)",dim_player 落库时机早于/漏于 fact 表,"补写缺失的 dim_player 行(需要来源真实姓名,不得编造)"
LOW,HIGH,fact.orphan_player_id,fact_match_lineup,Player_ID,53,Ligue1,2020/2021,"[core] fact_match_lineup 存在无法连接 dim_player 的孤儿 Player_ID(源数据既有缺陷,非本轮合并引入)。行占比=2.6611%;唯一球员占比=11.4035%(78/684)。其中首发=0;有实际出场分钟数据=0",403,15144,2.6611,,,560900;815118;989959;956926;1178266;1178265;34003;684937;154228;510569,"球员名无法展示;若做球员级聚合会丢失这些球员的贡献(本分区经核实全部为未实际出场的替补名单,建模影响可忽略)",dim_player 落库时机早于/漏于 fact 表,"补写缺失的 dim_player 行(需要来源真实姓名,不得编造)"
LOW,HIGH,fact.orphan_player_id,fact_match_lineup,Player_ID,53,Ligue1,2020/2021,"[verify] fact_match_lineup 存在无法连接 dim_player 的孤儿 Player_ID(源数据既有缺陷,非本轮合并引入)。行占比=2.6809%;唯一球员占比=11.5497%(79/684)。其中首发=0;有实际出场分钟数据=0",406,15144,2.6809,,,560900;815118;989959;956926;316847;1178266;1178265;34003;684937;154228,"球员名无法展示;若做球员级聚合会丢失这些球员的贡献(本分区经核实全部为未实际出场的替补名单,建模影响可忽略)",dim_player 落库时机早于/漏于 fact 表,"补写缺失的 dim_player 行(需要来源真实姓名,不得编造)"
LOW,HIGH,fact.orphan_player_id,fact_match_lineup,Player_ID,53,Ligue1,2021/2022,"[core] fact_match_lineup 存在无法连接 dim_player 的孤儿 Player_ID(源数据既有缺陷,非本轮合并引入)。行占比=1.9681%;唯一球员占比=10.9244%(78/714)。其中首发=0;有实际出场分钟数据=0",297,15091,1.9681,,,1027202;917831;1285460;970146;1285468;623747;1229267;215419;643586;1079544,"球员名无法展示;若做球员级聚合会丢失这些球员的贡献(本分区经核实全部为未实际出场的替补名单,建模影响可忽略)",dim_player 落库时机早于/漏于 fact 表,"补写缺失的 dim_player 行(需要来源真实姓名,不得编造)"
LOW,HIGH,fact.orphan_player_id,fact_match_lineup,Player_ID,53,Ligue1,2021/2022,"[verify] fact_match_lineup 存在无法连接 dim_player 的孤儿 Player_ID(源数据既有缺陷,非本轮合并引入)。行占比=1.9681%;唯一球员占比=10.9244%(78/714)。其中首发=0;有实际出场分钟数据=0",297,15091,1.9681,,,1027202;917831;1285460;970146;1285468;623747;1229267;215419;643586;1079544,"球员名无法展示;若做球员级聚合会丢失这些球员的贡献(本分区经核实全部为未实际出场的替补名单,建模影响可忽略)",dim_player 落库时机早于/漏于 fact 表,"补写缺失的 dim_player 行(需要来源真实姓名,不得编造)"
LOW,HIGH,fact.orphan_player_id,fact_match_lineup,Player_ID,53,Ligue1,2023/2024,"[core] fact_match_lineup 存在无法连接 dim_player 的孤儿 Player_ID(源数据既有缺陷,非本轮合并引入)。行占比=1.9632%;唯一球员占比=9.3354%(59/632)。其中首发=0;有实际出场分钟数据=0",240,12225,1.9632,,,1514445;678767;1065634;1210649;623747;1463439;1074740;1356327;1487963;1603721,"球员名无法展示;若做球员级聚合会丢失这些球员的贡献(本分区经核实全部为未实际出场的替补名单,建模影响可忽略)",dim_player 落库时机早于/漏于 fact 表,"补写缺失的 dim_player 行(需要来源真实姓名,不得编造)"
LOW,HIGH,fact.orphan_player_id,fact_match_lineup,Player_ID,53,Ligue1,2023/2024,"[verify] fact_match_lineup 存在无法连接 dim_player 的孤儿 Player_ID(源数据既有缺陷,非本轮合并引入)。行占比=1.9632%;唯一球员占比=9.3354%(59/632)。其中首发=0;有实际出场分钟数据=0",240,12225,1.9632,,,1514445;678767;1065634;1210649;623747;1463439;1074740;1356327;1487963;1603721,"球员名无法展示;若做球员级聚合会丢失这些球员的贡献(本分区经核实全部为未实际出场的替补名单,建模影响可忽略)",dim_player 落库时机早于/漏于 fact 表,"补写缺失的 dim_player 行(需要来源真实姓名,不得编造)"
LOW,HIGH,fact.orphan_player_id,fact_match_lineup,Player_ID,53,Ligue1,2024/2025,"[core] fact_match_lineup 存在无法连接 dim_player 的孤儿 Player_ID(源数据既有缺陷,非本轮合并引入)。行占比=1.7761%;唯一球员占比=9.5238%(62/651)。其中首发=0;有实际出场分钟数据=0",217,12218,1.7761,,,1669615;1270037;1667972;1670156;1487963;1274032;1291293;1645510;1400913;678767,"球员名无法展示;若做球员级聚合会丢失这些球员的贡献(本分区经核实全部为未实际出场的替补名单,建模影响可忽略)",dim_player 落库时机早于/漏于 fact 表,"补写缺失的 dim_player 行(需要来源真实姓名,不得编造)"
LOW,HIGH,fact.orphan_player_id,fact_match_lineup,Player_ID,53,Ligue1,2024/2025,"[verify] fact_match_lineup 存在无法连接 dim_player 的孤儿 Player_ID(源数据既有缺陷,非本轮合并引入)。行占比=1.7761%;唯一球员占比=9.5238%(62/651)。其中首发=0;有实际出场分钟数据=0",217,12218,1.7761,,,1669615;1270037;1667972;1670156;1487963;1274032;1291293;1645510;1400913;678767,"球员名无法展示;若做球员级聚合会丢失这些球员的贡献(本分区经核实全部为未实际出场的替补名单,建模影响可忽略)",dim_player 落库时机早于/漏于 fact 表,"补写缺失的 dim_player 行(需要来源真实姓名,不得编造)"
LOW,HIGH,fact.orphan_player_id,fact_match_lineup,Player_ID,53,Ligue1,2025/2026,"[core] fact_match_lineup 存在无法连接 dim_player 的孤儿 Player_ID(源数据既有缺陷,非本轮合并引入)。行占比=2.3843%;唯一球员占比=13.6637%(91/666)。其中首发=0;有实际出场分钟数据=0",291,12205,2.3843,,,1283024;938282;1800947;1800949;1680590;26427;1510394;1419974;1667648;1487952,"球员名无法展示;若做球员级聚合会丢失这些球员的贡献(本分区经核实全部为未实际出场的替补名单,建模影响可忽略)",dim_player 落库时机早于/漏于 fact 表,"补写缺失的 dim_player 行(需要来源真实姓名,不得编造)"
LOW,HIGH,fact.orphan_player_id,fact_match_lineup,Player_ID,53,Ligue1,2025/2026,"[verify] fact_match_lineup 存在无法连接 dim_player 的孤儿 Player_ID(源数据既有缺陷,非本轮合并引入)。行占比=2.3843%;唯一球员占比=13.6637%(91/666)。其中首发=0;有实际出场分钟数据=0",291,12205,2.3843,,,1283024;938282;1800947;1800949;1680590;26427;1510394;1419974;1667648;1487952,"球员名无法展示;若做球员级聚合会丢失这些球员的贡献(本分区经核实全部为未实际出场的替补名单,建模影响可忽略)",dim_player 落库时机早于/漏于 fact 表,"补写缺失的 dim_player 行(需要来源真实姓名,不得编造)"
LOW,HIGH,fact.orphan_player_id,fact_match_lineup,Player_ID,54,Bundesliga,2020/2021,"[core] fact_match_lineup 存在无法连接 dim_player 的孤儿 Player_ID(源数据既有缺陷,非本轮合并引入)。行占比=1.6534%;唯一球员占比=7.6106%(43/565)。其中首发=0;有实际出场分钟数据=0",201,12157,1.6534,,,659046;95216;800587;1073485;654241;934832;1077243;1073999;1175706;298163,"球员名无法展示;若做球员级聚合会丢失这些球员的贡献(本分区经核实全部为未实际出场的替补名单,建模影响可忽略)",dim_player 落库时机早于/漏于 fact 表,"补写缺失的 dim_player 行(需要来源真实姓名,不得编造)"
LOW,HIGH,fact.orphan_player_id,fact_match_lineup,Player_ID,54,Bundesliga,2020/2021,"[verify] fact_match_lineup 存在无法连接 dim_player 的孤儿 Player_ID(源数据既有缺陷,非本轮合并引入)。行占比=1.6534%;唯一球员占比=7.6106%(43/565)。其中首发=0;有实际出场分钟数据=0",201,12157,1.6534,,,659046;95216;800587;1073485;654241;934832;1077243;1073999;1175706;298163,"球员名无法展示;若做球员级聚合会丢失这些球员的贡献(本分区经核实全部为未实际出场的替补名单,建模影响可忽略)",dim_player 落库时机早于/漏于 fact 表,"补写缺失的 dim_player 行(需要来源真实姓名,不得编造)"
LOW,HIGH,fact.orphan_player_id,fact_match_lineup,Player_ID,54,Bundesliga,2021/2022,"[core] fact_match_lineup 存在无法连接 dim_player 的孤儿 Player_ID(源数据既有缺陷,非本轮合并引入)。行占比=1.1052%;唯一球员占比=7.9932%(47/588)。其中首发=0;有实际出场分钟数据=0",134,12125,1.1052,,,667789;1254245;1072117;1193350;951906;1287754;399549;1183141;1285760;1280832,"球员名无法展示;若做球员级聚合会丢失这些球员的贡献(本分区经核实全部为未实际出场的替补名单,建模影响可忽略)",dim_player 落库时机早于/漏于 fact 表,"补写缺失的 dim_player 行(需要来源真实姓名,不得编造)"
